LATITUDE,LONGITUDE
31.1,35.5
35.683,35.8
38.0,58.2
36.4,25.4
31.5,35.3
35.5,25.5
35.683,35.8
32.0,35.5
29.6,35.0
33.0,35.5
33.27,35.22
37.0,22.5
33.56,35.37
37.9,23.5
39.7,23.3
37.0,22.5
38.9,22.7
35.5,51.8
38.25,22.25
35.0,25.0
40.0,25.0
23.0,71.0
38.5,22.5
41.0,27.0
42.7,77.5
36.3,28.3
29.2,25.5
36.2,-7.17
44.3,8.5
36.0,-10.5
36.404,25.396
35.4,103.9
33.8,105.6
36.3,119.0
45.2,36.6
36.0,-10.0
41.3,19.5
43.5,28.5
43.0,41.0
34.9,104.7
31.2,34.2
32.0,35.5
25.7,32.7
35.0,33.0
28.8,104.6
35.2,34.0
38.0,58.3
37.8,27.4
37.85,27.3
38.2,22.2
33.0,72.0
35.9,126.5
40.5,28.9
31.8,35.2
36.1,36.1
33.0,112.5
37.0,68.5
41.0,24.3
36.1,36.1
35.0,25.0
41.2,19.3
37.9,29.2
35.2,25.1
40.7,14.5
34.8,32.0
40.821,14.426
35.9,126.5
40.6,26.7
35.8,129.2
39.5,27.0
40.0,34.0
36.1,36.1
40.77,29.92
35.8,129.2
34.7,105.4
35.8,103.5
36.7,28.0
34.7,105.3
36.5,28.5
39.0,24.5
37.5,120.0
38.0,15.0
38.6,26.65
39.4,99.5
45.3,11.0
35.5,25.5
39.1,27.2
41.9,12.45
36.6,30.0
40.3,116.0
32.6,116.8
35.5,129.1
33.2,35.1
31.7,35.5
34.1,105.3
40.5,14.5
41.2,19.3
36.1,36.1
36.2,36.1
41.3,19.5
36.2,36.1
40.5,14.5
40.3,26.5
35.4,114.3
41.4,19.4
33.9,35.5
41.0,30.0
40.7,29.7
40.77,29.9
41.6,21.5
41.0,29.5
31.3,35.6
35.0,23.0
40.7,29.7
40.0,29.0
40.5,29.6
41.1,14.8
36.0,-10.83
36.1,36.1
36.1,36.1
41.0,29.0
37.067,10.067
31.2,34.2
31.9,34.9
40.5,46.5
35.5,25.5
41.0,29.0
40.9,28.5
35.0,25.0
40.4,28.4
36.2,36.1
36.2,36.1
20.3,100.0
44.4,4.3
41.0,29.0
40.8,29.2
34.3,35.5
32.1,118.8
42.7,76.5
39.0,125.3
35.5,129.1
39.4,113.3
42.0,21.4
39.6,21.2
41.2,19.3
36.2,36.1
36.25,36.1
40.1,20.8
36.25,36.1
36.2,37.2
40.3,27.8
38.4,22.3
33.9,35.5
36.1,37.1
33.9,35.5
36.8,27.3
41.04,28.98
40.9,27.6
40.9,27.6
36.1,36.1
43.6,13.5
40.9,28.8
36.2,36.1
45.6,15.3
36.0,36.0
36.1,36.1
36.25,36.1
34.3,108.9
41.0,15.0
38.0,46.2
36.1,111.5
35.3,54.0
35.5,129.1
35.0,43.5
32.5,134.0
38.4,27.2
35.7,135.4
33.8,136.7
36.0,36.0
40.4,28.9
36.0,36.0
34.6,105.6
39.7,45.5
40.7,29.3
35.0,38.0
42.1,48.2
35.3,52.2
32.4,130.5
34.6,135.3
35.5,136.9
32.0,35.5
33.5,36.3
35.0,43.5
31.2,34.2
33.3,59.3
31.6,130.7
37.8,115.2
45.4,12.2
28.1,111.4
35.5,129.1
32.5,109.4
45.5,11.0
35.0,25.0
41.9,12.6
45.4,11.9
36.95,35.6
56.3,-2.8
27.9,102.2
36.8,66.2
35.2,139.3
37.4,112.6
36.0,36.0
40.4,71.3
49.5,-2.5
33.5,36.3
36.2,43.1
36.1,36.1
41.6,14.2
33.5,36.3
36.21,42.08
35.3,51.2
39.0,139.9
40.0,44.6
41.5,14.5
50.1,3.1
35.7,10.1
40.0,45.0
35.3,51.2
36.8,10.2
37.9,22.9
40.0,44.6
36.2,54.3
40.0,44.6
38.0,46.2
36.0,36.0
33.0,44.5
40.0,44.6
38.0,46.2
35.3,51.2
37.1,138.0
35.3,51.2
41.0,29.0
38.5,143.8
33.2,47.2
37.8,105.9
30.0,-6.0
30.0,31.1
33.0,135.3
37.5,138.1
38.3,48.3
40.0,44.6
45.3,11.0
41.9,12.6
41.7,22.9
35.3,51.2
33.2,44.2
34.6,47.8
33.8,136.7
36.0,51.7
39.7,64.5
38.0,58.3
36.1,37.1
38.0,58.3
34.9,48.4
34.8,44.8
35.7,51.4
33.2,44.2
35.3,51.2
38.0,15.0
36.1,36.1
27.4,52.2
27.7,52.3
41.1,14.8
36.2,43.1
41.1,14.8
33.5,36.3
29.0,112.0
31.8,119.9
46.0,14.5
35.0,110.0
45.3,11.0
34.3,109.0
47.0,6.0
40.5,43.3
33.2,44.2
27.665,52.348
41.0,29.5
64.0,-21.0
47.5,7.6
39.8,113.1
34.8,131.8
33.0,35.0
37.6,126.3
32.0,119.0
38.4,112.9
38.4,27.3
35.7,10.0
38.0,46.2
38.1,46.3
39.7,39.5
40.5,43.5
30.6,50.3
36.0,58.8
39.7,116.3
34.3,44.7
40.4,28.9
34.3,35.5
40.7,29.7
38.1,15.1
35.0,58.0
34.0,58.0
23.6,116.5
29.5,34.95
38.5,116.1
30.0,31.1
14.2,43.3
35.0,38.0
40.5,28.5
39.9,41.1
31.0,49.0
37.0,15.3
34.0,44.0
41.4,43.2
40.5,143.0
34.3,38.2
36.1,36.1
34.0,137.5
33.0,135.5
36.0,59.0
35.0,62.1
37.5,112.6
36.2,36.1
36.2,36.1
38.5,43.4
42.42,12.1
36.1,36.1
37.5,38.5
36.1,36.1
36.8,39.0
26.4,55.5
45.5,11.0
44.8,11.3
36.2,50.0
41.1,14.8
36.1,103.7
36.2,43.1
33.2,44.2
37.3,15.1
36.3,43.1
40.3,46.3
38.5,106.3
33.2,44.4
38.7,-9.1
32.6,36.7
39.8,20.1
45.8,8.1
34.5,36.5
36.2,37.2
35.1,36.3
38.4,38.35
32.0,35.5
64.3,-20.0
37.3,15.03
36.2,37.2
34.4,35.8
38.0,15.0
35.3,51.2
37.5,65.5
36.3,50.0
36.1,36.1
41.1,15.1
64.0,-21.0
32.6,36.7
34.5,36.5
39.3,16.2
46.4,15.3
33.5,36.0
27.1,118.4
36.3,57.6
42.0,60.0
36.0,58.8
36.0,111.8
30.5,31.3
36.0,106.2
45.55,10.22
34.5,33.0
41.6,15.9
43.6,5.3
38.5,106.3
41.5,13.8
41.0,28.6
45.3,12.2
41.2,19.3
41.3,19.5
34.2,58.4
35.2,139.4
41.0,13.0
27.7,85.3
35.2,139.5
39.0,144.0
38.0,12.5
36.0,58.8
39.75,39.5
38.0,46.2
40.6,15.8
41.3,19.7
42.1,44.2
35.1,-6.1
45.3,11.0
44.2,12.0
44.1,15.2
44.1,15.2
36.1,58.5
36.1,58.8
41.7,43.2
33.3,36.2
47.4,2.5
48.6,7.8
40.0,116.5
41.5,119.3
29.4,52.3
36.1,111.5
32.0,34.9
35.2,139.4
46.9,9.5
46.9,9.5
42.4,12.9
42.4,12.9
44.1,15.2
36.8,56.0
36.2,53.4
35.0,27.0
36.3,111.7
38.5,45.5
39.8,113.1
35.5,25.5
26.6,56.2
35.9,106.1
35.6,46.0
31.2,112.2
36.5,113.8
41.5,13.8
39.1,44.5
36.0,-10.7
45.2,14.7
30.1,102.7
42.8,13.0
37.734,15.004
33.7,135.2
26.6,56.2
34.7,59.7
40.4,115.7
34.3,35.5
29.0,111.3
44.3,34.3
41.0,139.5
44.0,15.0
40.8,28.3
34.9,105.8
38.0,-9.0
36.527,37.956
32.6,51.7
43.8,11.3
47.5,7.6
36.9,118.2
46.4,13.5
42.3,13.5
43.0,43.0
37.3,113.0
43.5,12.1
35.6,105.3
40.8,27.0
35.1,36.4
36.8,-9.0
47.4,7.6
14.1,43.2
36.8,3.0
26.8,55.9
33.4,136.2
40.3,15.6
28.8,115.3
33.0,135.0
36.8,3.0
37.3,49.7
37.6,112.5
32.0,118.8
42.1,-0.3
46.9,8.4
12.4,45.1
41.1,20.1
35.3,51.2
39.2,26.2
39.3,26.3
37.6,126.3
44.2,17.7
44.1,15.2
12.4,45.1
38.5,26.5
36.2,58.5
36.1,58.5
36.2,58.8
44.1,15.2
39.8,64.4
47.4,7.2
44.1,15.2
36.5,49.0
27.7,54.3
35.0,37.0
33.7,136.5
36.1,37.1
36.0,58.8
34.4,138.4
36.0,36.0
36.2,36.1
33.8,136.9
43.5,12.1
41.0,15.0
43.9,15.6
40.9,28.9
14.1,43.2
41.7,2.2
43.4,4.4
37.2,-3.6
34.9,139.5
28.3,53.1
36.2,103.3
38.3,43.2
38.0,46.2
48.5,19.1
43.2,27.9
38.7,42.2
24.5,117.6
41.9,12.6
37.5,138.2
42.6,18.1
47.5,7.6
47.5,7.6
35.9,126.5
40.4,14.5
42.2,20.7
39.8,39.5
31.2,34.2
31.2,34.2
39.9,40.4
46.3,16.3
42.3,13.4
42.3,13.5
14.1,43.2
37.3,-5.6
38.5,20.5
-16.3,-71.0
42.6,18.1
42.6,75.2
27.5,101.6
43.0,17.6
42.0,15.9
36.0,28.0
36.0,28.0
36.0,28.0
26.5,99.9
42.6,18.1
39.9,40.4
26.1,56.9
36.2,27.5
24.9,57.9
37.0,49.0
40.5,116.5
36.9,49.9
